name,metro_pop,nonmetro_pop,total,metP,nonmetP
Alaska,3,27,30,0.1,0.9
Arizona,8,7,15,0.5333333333333333,0.4666666666666667
Arkansas,17,58,75,0.22666666666666666,0.7733333333333333
California,37,21,58,0.6379310344827587,0.3620689655172414
Colorado,17,47,64,0.265625,0.734375
Connecticut,7,2,9,0.7777777777777778,0.2222222222222222
Delaware,2,1,3,0.6666666666666666,0.3333333333333333
Florida,45,22,67,0.6716417910447762,0.3283582089552239
Georgia,74,85,159,0.46540880503144655,0.5345911949685535
Hawaii,3,2,5,0.6,0.4
Idaho,14,30,44,0.3181818181818182,0.6818181818181818
Illinois,37,65,102,0.3627450980392157,0.6372549019607843
Indiana,44,48,92,0.4782608695652174,0.5217391304347826
Iowa,22,77,99,0.2222222222222222,0.7777777777777778
Kansas,20,85,105,0.19047619047619047,0.8095238095238095
Kentucky,39,81,120,0.325,0.675
Louisiana,37,27,64,0.578125,0.421875
Maine,5,11,16,0.3125,0.6875
Massachusetts,11,3,14,0.7857142857142857,0.21428571428571427
Michigan,30,53,83,0.3614457831325301,0.6385542168674698
Minnesota,27,60,87,0.3103448275862069,0.6896551724137931
Missouri,35,80,115,0.30434782608695654,0.6956521739130435
Montana,10,46,56,0.17857142857142858,0.8214285714285714
Nebraska,11,82,93,0.11827956989247312,0.8817204301075269
Nevada,5,12,17,0.29411764705882354,0.7058823529411765
New Hampshire,3,7,10,0.3,0.7
New Mexico,7,26,33,0.21212121212121213,0.7878787878787878
New York,37,25,62,0.5967741935483871,0.4032258064516129
North Carolina,45,55,100,0.45,0.55
North Dakota,8,45,53,0.1509433962264151,0.8490566037735849
Ohio,41,47,88,0.4659090909090909,0.5340909090909091
Mississippi,20,62,82,0.24390243902439024,0.7560975609756098
Oklahoma,18,59,77,0.23376623376623376,0.7662337662337663
Oregon,15,21,36,0.4166666666666667,0.5833333333333334
Pennsylvania,33,34,67,0.4925373134328358,0.5074626865671642
South Carolina,26,20,46,0.5652173913043478,0.43478260869565216
South Dakota,8,58,66,0.12121212121212122,0.8787878787878788
Tennessee,44,51,95,0.4631578947368421,0.5368421052631579
Texas,86,168,254,0.33858267716535434,0.6614173228346457
Utah,9,20,29,0.3103448275862069,0.6896551724137931
Vermont,3,11,14,0.21428571428571427,0.7857142857142857
Virginia,80,53,133,0.6015037593984962,0.39849624060150374
Washington,19,20,39,0.48717948717948717,0.5128205128205128
West Virginia,20,35,55,0.36363636363636365,0.6363636363636364
Wisconsin,27,45,72,0.375,0.625
Wyoming,2,21,23,0.08695652173913043,0.9130434782608695
Alabama,31,36,67,0.4626865671641791,0.5373134328358209
Maryland,17,7,24,0.7083333333333334,0.2916666666666667
New Jersey,21,,,,
Rhode Island,5,,,,
